text,intent,title,description,response,date,startTime,endTime,location,isAllDay
Cancel my Team Meeting next Friday at 14:00,CANCEL,Team Meeting,Weekly sync-up,Your event 'Team Meeting' on 2025-5-16 at 14:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-16,14:00:00,16:00:00,Clinic,False
"Add Data Workshop November 2, 2026 at 16:45 at Zoom at Zoom",ADD,Data Workshop,Hands-on data workshop,"Great, I've added 'Data Workshop' on 2026-11-2 from 16:45:00 to 17:45:00 at Zoom. Let me know if you need anything else!",2026-11-2,16:45:00,17:45:00,Zoom,False
Cancel my Data Workshop next Monday at 8:00,CANCEL,Data Workshop,Hands-on data workshop,Your event 'Data Workshop' on 2025-5-19 at 08:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-19,08:00:00,10:00:00,Teams,False
Add Performance Review all day on next Tuesday at Cafe Rio,ADD,Performance Review,Annual review,"Great, I've added 'Performance Review' on 2025-5-20 from 00:00:00 to 23:59:59 at Cafe Rio. Let me know if you need anything else!",2025-5-20,00:00:00,23:59:59,Cafe Rio,True
Reschedule my Interview with Candidate to next Monday at 11 AM,UPDATE,Interview with Candidate,Candidate interview,"Sure, I've updated 'Interview with Candidate' to 2025-5-19 from 11:00:00 to 11:30:00.",2025-5-19,11:00:00,11:30:00,,False
Add Conference Call tomorrow at 8:00 at Main Conference Room at Main Conference Room,ADD,Conference Call,Call with team,"Great, I've added 'Conference Call' on 2025-5-15 from 08:00:00 to 09:30:00 at Main Conference Room. Let me know if you need anything else!",2025-5-15,08:00:00,09:30:00,Main Conference Room,False
"Add Marketing Presentation all day on December 28, 2026",ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2026-12-28 from 00:00:00 to 23:59:59. Let me know if you need anything else!",2026-12-28,00:00:00,23:59:59,,True
Add Performance Review next Monday at 16:45 at Cafe Rio at Cafe Rio,ADD,Performance Review,Annual review,"Great, I've added 'Performance Review' on 2025-5-19 from 16:45:00 to 18:15:00 at Cafe Rio. Let me know if you need anything else!",2025-5-19,16:45:00,18:15:00,Cafe Rio,False
"Add Performance Review October 31, 2025 at 9:30 AM at Zoom at Zoom",ADD,Performance Review,Annual review,"Great, I've added 'Performance Review' on 2025-10-31 from 09:00:00 to 09:30:00 at Zoom. Let me know if you need anything else!",2025-10-31,09:00:00,09:30:00,Zoom,False
Cancel my Marketing Presentation next Thursday at 8:00,CANCEL,Marketing Presentation,Present marketing strategy,Your event 'Marketing Presentation' on 2025-5-15 at 08:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,08:00:00,09:00:00,Gym,False
Add AI Trends Webinar tomorrow at 3 PM at Cafe Rio at Cafe Rio,ADD,AI Trends Webinar,Online AI seminar,"Great, I've added 'AI Trends Webinar' on 2025-5-15 from 15:00:00 to 17:00:00 at Cafe Rio. Let me know if you need anything else!",2025-5-15,15:00:00,17:00:00,Cafe Rio,False
"Cancel my Data Workshop July 29, 2026 at 9:30 AM",CANCEL,Data Workshop,Hands-on data workshop,Your event 'Data Workshop' on 2026-7-29 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2026-7-29,09:00:00,11:00:00,Main Conference Room,False
Add Conference Call all day on next Wednesday at Gym,ADD,Conference Call,Call with team,"Great, I've added 'Conference Call' on 2025-5-21 from 00:00:00 to 23:59:59 at Gym. Let me know if you need anything else!",2025-5-21,00:00:00,23:59:59,Gym,True
Reschedule my Doctor Appointment to tomorrow at 9:30 AM at Gym,UPDATE,Doctor Appointment,Health check-up,"Sure, I've updated 'Doctor Appointment' to 2025-5-15 from 09:00:00 to 10:30:00 at Gym.",2025-5-15,09:00:00,10:30:00,Gym,False
"Add Lunch with John August 26, 2025 at 16:45 at Office at Office",ADD,Lunch with John,Casual lunch,"Great, I've added 'Lunch with John' on 2025-8-26 from 16:45:00 to 18:45:00 at Office. Let me know if you need anything else!",2025-8-26,16:45:00,18:45:00,Office,False
Cancel my Birthday Party tomorrow at 9:30 AM,CANCEL,Birthday Party,Celebrate birthday,Your event 'Birthday Party' on 2025-5-15 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,09:00:00,09:30:00,Zoom,False
"Cancel my Data Workshop October 1, 2026 at 8:00",CANCEL,Data Workshop,Hands-on data workshop,Your event 'Data Workshop' on 2026-10-1 at 08:00:00 has been canceled. Let me know if there's anything else I can do!,2026-10-1,08:00:00,08:30:00,Home,False
"Change time of Birthday Party to 8:00 on November 1, 2026 at Gym",UPDATE,Birthday Party,Celebrate birthday,"Sure, I've updated 'Birthday Party' to 2026-11-1 from 08:00:00 to 09:30:00 at Gym.",2026-11-1,08:00:00,09:30:00,Gym,False
"Add Lunch with John January 29, 2026 at 14:00 at Clinic at Clinic",ADD,Lunch with John,Casual lunch,"Great, I've added 'Lunch with John' on 2026-1-29 from 14:00:00 to 14:30:00 at Clinic. Let me know if you need anything else!",2026-1-29,14:00:00,14:30:00,Clinic,False
"Update Project Review to an all-day event on April 2, 2026",UPDATE,Project Review,Review project milestones,"Sure, I've updated 'Project Review' to 2026-4-2 from 00:00:00 to 23:59:59 at Office.",2026-4-2,00:00:00,23:59:59,Office,True
Cancel my Yoga Class day after tomorrow at 9:30 AM,CANCEL,Yoga Class,Morning yoga session,Your event 'Yoga Class' on 2025-5-16 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-16,09:00:00,11:00:00,Clinic,False
Reschedule my Performance Review to day after tomorrow at 8:00 at Cafe Rio,UPDATE,Performance Review,Annual review,"Sure, I've updated 'Performance Review' to 2025-5-16 from 08:00:00 to 08:30:00 at Cafe Rio.",2025-5-16,08:00:00,08:30:00,Cafe Rio,False
Change time of Project Review to 11 AM on next Thursday at Home,UPDATE,Project Review,Review project milestones,"Sure, I've updated 'Project Review' to 2025-5-15 from 11:00:00 to 12:00:00 at Home.",2025-5-15,11:00:00,12:00:00,Home,False
"Cancel my Yoga Class July 3, 2026 at 9:30 AM",CANCEL,Yoga Class,Morning yoga session,Your event 'Yoga Class' on 2026-7-3 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2026-7-3,09:00:00,11:00:00,Gym,False
Add Doctor Appointment next Monday at 16:45,ADD,Doctor Appointment,Health check-up,"Great, I've added 'Doctor Appointment' on 2025-5-19 from 16:45:00 to 17:45:00. Let me know if you need anything else!",2025-5-19,16:45:00,17:45:00,,False
Add Board Meeting day after tomorrow at 9:30 AM at Google Meet at Google Meet,ADD,Board Meeting,High-level board discussion,"Great, I've added 'Board Meeting' on 2025-5-16 from 09:00:00 to 10:30:00 at Google Meet. Let me know if you need anything else!",2025-5-16,09:00:00,10:30:00,Google Meet,False
"Add Data Workshop September 6, 2026 at 9:30 AM",ADD,Data Workshop,Hands-on data workshop,"Great, I've added 'Data Workshop' on 2026-9-6 from 09:00:00 to 10:00:00. Let me know if you need anything else!",2026-9-6,09:00:00,10:00:00,,False
"Move Conference Call to February 23, 2026 at 11 AM at Gym",UPDATE,Conference Call,Call with team,"Sure, I've updated 'Conference Call' to 2026-2-23 from 11:00:00 to 12:00:00 at Gym.",2026-2-23,11:00:00,12:00:00,Gym,False
Move Lunch with John to next Monday at 3 PM at Zoom,UPDATE,Lunch with John,Casual lunch,"Sure, I've updated 'Lunch with John' to 2025-5-19 from 15:00:00 to 16:00:00 at Zoom.",2025-5-19,15:00:00,16:00:00,Zoom,False
Cancel my Performance Review next Thursday at 9:30 AM,CANCEL,Performance Review,Annual review,Your event 'Performance Review' on 2025-5-15 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,09:00:00,10:00:00,Zoom,False
Add Birthday Party next Thursday at 8:00 at Teams at Teams,ADD,Birthday Party,Celebrate birthday,"Great, I've added 'Birthday Party' on 2025-5-15 from 08:00:00 to 09:00:00 at Teams. Let me know if you need anything else!",2025-5-15,08:00:00,09:00:00,Teams,False
"Cancel my Doctor Appointment August 5, 2026 at 16:45",CANCEL,Doctor Appointment,Health check-up,Your event 'Doctor Appointment' on 2026-8-5 at 16:45:00 has been canceled. Let me know if there's anything else I can do!,2026-8-5,16:45:00,18:15:00,Teams,False
"Add Performance Review all day on July 10, 2026 at Zoom",ADD,Performance Review,Annual review,"Great, I've added 'Performance Review' on 2026-7-10 from 00:00:00 to 23:59:59 at Zoom. Let me know if you need anything else!",2026-7-10,00:00:00,23:59:59,Zoom,True
Cancel my Lunch with John next Tuesday at 8:00,CANCEL,Lunch with John,Casual lunch,Your event 'Lunch with John' on 2025-5-20 at 08:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-20,08:00:00,10:00:00,Cafe Rio,False
"Cancel my Conference Call November 2, 2025 at 14:00",CANCEL,Conference Call,Call with team,Your event 'Conference Call' on 2025-11-2 at 14:00:00 has been canceled. Let me know if there's anything else I can do!,2025-11-2,14:00:00,14:30:00,Google Meet,False
"Reschedule my Dentist Visit to July 12, 2026 at 9:30 AM at Google Meet",UPDATE,Dentist Visit,Dental check-up,"Sure, I've updated 'Dentist Visit' to 2026-7-12 from 09:00:00 to 10:30:00 at Google Meet.",2026-7-12,09:00:00,10:30:00,Google Meet,False
"Add AI Trends Webinar March 22, 2026 at 14:00 at Clinic at Clinic",ADD,AI Trends Webinar,Online AI seminar,"Great, I've added 'AI Trends Webinar' on 2026-3-22 from 14:00:00 to 16:00:00 at Clinic. Let me know if you need anything else!",2026-3-22,14:00:00,16:00:00,Clinic,False
"Cancel my Birthday Party July 25, 2026 at 3 PM",CANCEL,Birthday Party,Celebrate birthday,Your event 'Birthday Party' on 2026-7-25 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2026-7-25,15:00:00,16:00:00,Teams,False
Add Performance Review day after tomorrow at 8:00 at Gym at Gym,ADD,Performance Review,Annual review,"Great, I've added 'Performance Review' on 2025-5-16 from 08:00:00 to 09:00:00 at Gym. Let me know if you need anything else!",2025-5-16,08:00:00,09:00:00,Gym,False
"Update Lunch with John date to October 25, 2026 and time to 3 PM",UPDATE,Lunch with John,Casual lunch,"Sure, I've updated 'Lunch with John' to 2026-10-25 from 15:00:00 to 16:00:00.",2026-10-25,15:00:00,16:00:00,,False
"Change time of Coffee with Sarah to 9:30 AM on December 28, 2026 at Gym",UPDATE,Coffee with Sarah,Catch-up over coffee,"Sure, I've updated 'Coffee with Sarah' to 2026-12-28 from 09:00:00 to 09:30:00 at Gym.",2026-12-28,09:00:00,09:30:00,Gym,False
"Add Team Meeting May 12, 2026 at 8:00 at Main Conference Room at Main Conference Room",ADD,Team Meeting,Weekly sync-up,"Great, I've added 'Team Meeting' on 2026-5-12 from 08:00:00 to 10:00:00 at Main Conference Room. Let me know if you need anything else!",2026-5-12,08:00:00,10:00:00,Main Conference Room,False
Add Coffee with Sarah tomorrow at 14:00,ADD,Coffee with Sarah,Catch-up over coffee,"Great, I've added 'Coffee with Sarah' on 2025-5-15 from 14:00:00 to 16:00:00. Let me know if you need anything else!",2025-5-15,14:00:00,16:00:00,,False
Move Conference Call to next Tuesday at 16:45 at Clinic,UPDATE,Conference Call,Call with team,"Sure, I've updated 'Conference Call' to 2025-5-20 from 16:45:00 to 18:45:00 at Clinic.",2025-5-20,16:45:00,18:45:00,Clinic,False
"Add Lunch with John August 19, 2025 at 9:30 AM at Cafe Rio at Cafe Rio",ADD,Lunch with John,Casual lunch,"Great, I've added 'Lunch with John' on 2025-8-19 from 09:00:00 to 10:30:00 at Cafe Rio. Let me know if you need anything else!",2025-8-19,09:00:00,10:30:00,Cafe Rio,False
"Cancel my Lunch with John October 20, 2025 at 16:45",CANCEL,Lunch with John,Casual lunch,Your event 'Lunch with John' on 2025-10-20 at 16:45:00 has been canceled. Let me know if there's anything else I can do!,2025-10-20,16:45:00,18:15:00,Office,False
Change time of Coffee with Sarah to 16:45 on tomorrow at Clinic,UPDATE,Coffee with Sarah,Catch-up over coffee,"Sure, I've updated 'Coffee with Sarah' to 2025-5-15 from 16:45:00 to 17:15:00 at Clinic.",2025-5-15,16:45:00,17:15:00,Clinic,False
Move Yoga Class to day after tomorrow at 16:45 at Clinic,UPDATE,Yoga Class,Morning yoga session,"Sure, I've updated 'Yoga Class' to 2025-5-16 from 16:45:00 to 18:45:00 at Clinic.",2025-5-16,16:45:00,18:45:00,Clinic,False
Add Doctor Appointment tomorrow at 9:30 AM at Google Meet at Google Meet,ADD,Doctor Appointment,Health check-up,"Great, I've added 'Doctor Appointment' on 2025-5-15 from 09:00:00 to 10:00:00 at Google Meet. Let me know if you need anything else!",2025-5-15,09:00:00,10:00:00,Google Meet,False
"Cancel my Interview with Candidate January 17, 2026 at 14:00",CANCEL,Interview with Candidate,Candidate interview,Your event 'Interview with Candidate' on 2026-1-17 at 14:00:00 has been canceled. Let me know if there's anything else I can do!,2026-1-17,14:00:00,15:30:00,Main Conference Room,False
Add AI Trends Webinar all day on tomorrow at Office,ADD,AI Trends Webinar,Online AI seminar,"Great, I've added 'AI Trends Webinar' on 2025-5-15 from 00:00:00 to 23:59:59 at Office. Let me know if you need anything else!",2025-5-15,00:00:00,23:59:59,Office,True
Reschedule my AI Trends Webinar to next Wednesday at 9:30 AM at Office,UPDATE,AI Trends Webinar,Online AI seminar,"Sure, I've updated 'AI Trends Webinar' to 2025-5-21 from 09:00:00 to 11:00:00 at Office.",2025-5-21,09:00:00,11:00:00,Office,False
Add Coffee with Sarah next Wednesday at 8:00 at Zoom at Zoom,ADD,Coffee with Sarah,Catch-up over coffee,"Great, I've added 'Coffee with Sarah' on 2025-5-21 from 08:00:00 to 09:30:00 at Zoom. Let me know if you need anything else!",2025-5-21,08:00:00,09:30:00,Zoom,False
"Add Conference Call January 21, 2026 at 11 AM at Gym at Gym",ADD,Conference Call,Call with team,"Great, I've added 'Conference Call' on 2026-1-21 from 11:00:00 to 12:30:00 at Gym. Let me know if you need anything else!",2026-1-21,11:00:00,12:30:00,Gym,False
