intent,isAllDay,location,date,startTime,endTime,title,description,text,response
QUERY,0,Coffee Shop,2026-5-1,11:15:00,11:45:00,Coffee Catch-up,Coffee Catch-up,Do I have any events tomorrow?,You have an event 'Coffee Catch-up' on 2026-5-1 at 11:15:00. Would you like more details?
ADD,0,Conference Room A,2025-2-14,13:00:00,13:30:00,Project Deadline,Project Deadline,Meeting tomorrow,Event 'Project Deadline' has been added on 2025-2-14 from 13:00:00 to 13:30:00 at Conference Room A. Let me know if you need anything else!
ADD,0,Home,2026-11-1,15:30:00,17:30:00,Team Meeting,Team Meeting,Add Team Meeting on 2026-11-01 at 15:30 at Home,Event 'Team Meeting' has been added on 2026-11-1 from 15:30:00 to 17:30:00 at Home. Let me know if you need anything else!
QUERY,0,Office,2025-12-9,16:45:00,18:45:00,Webinar,Webinar,Do I have any events tomorrow?,You have an event 'Webinar' on 2025-12-9 at 16:45:00. Would you like more details?
QUERY,0,,2026-11-13,12:30:00,13:00:00,Lunch with Charlie,Lunch with Charlie,Show me events next Monday,You have an event 'Lunch with Charlie' on 2026-11-13 at 12:30:00. Would you like more details?
UPDATE,0,Zoom,2025-9-26,16:45:00,17:45:00,Lunch with Bob,Lunch with Bob,Update Lunch with Bob details for 2026-12-24 at Zoom,Got it—I've updated 'Lunch with Bob' to 2025-9-26 from 16:45:00 to 17:45:00 at Zoom.
CANCEL,0,Conference Room A,2025-5-15,13:45:00,15:45:00,Project Deadline,Project Deadline,Cancel Project Deadline on tomorrow at 13:45,Your event 'Project Deadline' scheduled for 2025-5-15 at 13:45:00 has been canceled. Hope that helps!
QUERY,0,Coffee Shop,2026-8-25,13:30:00,14:30:00,Webinar,Webinar,Show me events next Monday,You have an event 'Webinar' on 2026-8-25 at 13:30:00. Would you like more details?
ADD,0,Office,2026-5-26,16:45:00,17:15:00,Performance Review,Performance Review,Schedule Performance Review for 2026-05-26 16:45 at Office,Event 'Performance Review' has been added on 2026-5-26 from 16:45:00 to 17:15:00 at Office. Let me know if you need anything else!
UPDATE,0,Zoom,2026-10-27,14:00:00,14:30:00,Performance Review,Performance Review,Reschedule Performance Review to 2026-10-27 at 14:00,Got it—I've updated 'Performance Review' to 2026-10-27 from 14:00:00 to 14:30:00 at Zoom.
UPDATE,0,Home,2025-4-18,09:15:00,10:15:00,Birthday Party,Birthday Party,Move Birthday Party from tomorrow at 12:30 to 2025-04-18 at 09:15,Got it—I've updated 'Birthday Party' to 2025-4-18 from 09:15:00 to 10:15:00 at Home.
ADD,0,Conference Room A,2026-8-7,17:45:00,18:45:00,Birthday Party,Birthday Party,Meeting tomorrow,Event 'Birthday Party' has been added on 2026-8-7 from 17:45:00 to 18:45:00 at Conference Room A. Let me know if you need anything else!
ADD,0,Conference Room A,2025-5-16,12:15:00,13:15:00,Lunch with Bob,Lunch with Bob,Add Lunch with Bob on next Friday at 12:15 at Conference Room A,Event 'Lunch with Bob' has been added on 2025-5-16 from 12:15:00 to 13:15:00 at Conference Room A. Let me know if you need anything else!
ADD,1,Home,2025-2-10,00:00:00,23:59:59,Dentist Appointment,Dentist Appointment,Meeting tomorrow,Event 'Dentist Appointment' has been added on 2025-2-10 from 00:00:00 to 23:59:59 at Home. Let me know if you need anything else!
ADD,1,Conference Room A,2026-8-17,00:00:00,23:59:59,Dentist Appointment,Dentist Appointment,Add Dentist Appointment on 2026-08-17 at 00:00 at Conference Room A,Event 'Dentist Appointment' has been added on 2026-8-17 from 00:00:00 to 23:59:59 at Conference Room A. Let me know if you need anything else!
QUERY,0,Zoom,2025-5-19,15:15:00,16:15:00,Birthday Party,Birthday Party,Show me events next Monday,You have an event 'Birthday Party' on 2025-5-19 at 15:15:00. Would you like more details?
CANCEL,0,Zoom,2026-5-15,14:00:00,16:00:00,Performance Review,Performance Review,Delete Performance Review on 2026-05-15 at 14:00,Your event 'Performance Review' scheduled for 2026-5-15 at 14:00:00 has been canceled. Hope that helps!
ADD,0,Conference Room A,2026-4-17,08:00:00,10:00:00,Yoga Class,Yoga Class,I need to set up Yoga Class 2026-04-17 at 08:00 at Conference Room A,Event 'Yoga Class' has been added on 2026-4-17 from 08:00:00 to 10:00:00 at Conference Room A. Let me know if you need anything else!
QUERY,1,,2026-8-27,00:00:00,23:59:59,Lunch with Fiona,Lunch with Fiona,What's on my calendar for 2026-08-27?,You have an event 'Lunch with Fiona' on 2026-8-27 at 00:00:00. Would you like more details?
QUERY,0,,2025-4-17,08:00:00,09:00:00,Webinar,Webinar,Show me events next Monday,You have an event 'Webinar' on 2025-4-17 at 08:00:00. Would you like more details?
CHITCHAT,0,,,,,,,How are you today?,Glad you reached out—how can I help you today?
ADD,0,Zoom,2025-4-5,12:00:00,13:00:00,Webinar,Webinar,Schedule Webinar for 2025-04-05 12:00 at Zoom,Event 'Webinar' has been added on 2025-4-5 from 12:00:00 to 13:00:00 at Zoom. Let me know if you need anything else!
QUERY,0,Coffee Shop,2026-11-21,13:45:00,14:15:00,Webinar,Webinar,Do I have any events tomorrow?,You have an event 'Webinar' on 2026-11-21 at 13:45:00. Would you like more details?
CANCEL,0,,2025-5-14,13:30:00,14:00:00,Client Presentation,Client Presentation,Please remove my Client Presentation scheduled for today,Your event 'Client Presentation' scheduled for 2025-5-14 at 13:30:00 has been canceled. Hope that helps!
ADD,0,Home,2026-4-12,14:00:00,14:30:00,Birthday Party,Birthday Party,Put Birthday Party on my calendar 2026-04-12 at 14:00 at Home,Event 'Birthday Party' has been added on 2026-4-12 from 14:00:00 to 14:30:00 at Home. Let me know if you need anything else!
