text,intent,title,description,date,startTime,endTime,location,isAllDay,response
Hello there!,CHITCHAT,,,,,,,0,Sure!~
Book Team Sync on 26 November 2025 at 19:15 in Client Office,ADD,Team Sync,Team Sync session,2025-11-26,2025-11-26T19:15:00Z,2025-11-26T20:45:00Z,Client Office,0,"Sure!has been scheduled'Team Sync', time 19:15-20:45, at Client Office."
What events do I have on 2026-10-08?,QUERY,Flight to Melbourne,Flight to Melbourne session,2026-10-08,2026-10-08T13:45:00Z,2026-10-08T14:45:00Z,Cafe Luna,0,"You have'Flight to Melbourne', time 13:45-14:45, at Cafe Luna."
Book Doctor Checkup on 12 September 2026 at 18:45 in Client Office,ADD,Doctor Checkup,Doctor Checkup session,2026-09-12,2026-09-12T18:45:00Z,2026-09-12T19:45:00Z,Client Office,0,"Sure!has been scheduled'Doctor Checkup', time 18:45-19:45, at Client Office."
Cancel Team Sync on 2025-11-07,CANCEL,Team Sync,Team Sync session,2025-11-07,2025-11-07T14:30:00Z,2025-11-07T15:00:00Z,Gym Downtown,0,'Team Sync'has been cancelled.
Cancel Marketing Review on 2026-07-17,CANCEL,Marketing Review,Marketing Review session,2026-07-17,2026-07-17T08:15:00Z,2026-07-17T09:45:00Z,Sydney Clinic,0,'Marketing Review'has been cancelled.
Add Birthday Dinner on 16 August 2025 at 10:30 in Conference Room A,ADD,Birthday Dinner,Birthday Dinner session,2025-08-16,2025-08-16T10:30:00Z,2025-08-16T11:00:00Z,Conference Room A,0,"Sure!has been scheduled'Birthday Dinner', time 10:30-11:00, at Conference Room A."
What events do I have on 2026-04-03?,QUERY,Flight to Melbourne,Flight to Melbourne session,2026-04-03,2026-04-03T12:45:00Z,2026-04-03T13:15:00Z,Community Hall,0,"You have'Flight to Melbourne', time 12:45-13:15, at Community Hall."
Schedule Gym Session on 17 August 2025 at 13:45 in Conference Room A,ADD,Gym Session,Gym Session session,2025-08-17,2025-08-17T13:45:00Z,2025-08-17T15:15:00Z,Conference Room A,0,"Sure!has been scheduled'Gym Session', time 13:45-15:15, at Conference Room A."
Schedule Birthday Dinner on 20 February 2026 at 10:15 in Cafe Luna,ADD,Birthday Dinner,Birthday Dinner session,2026-02-20,2026-02-20T10:15:00Z,2026-02-20T11:15:00Z,Cafe Luna,0,"Sure!has been scheduled'Birthday Dinner', time 10:15-11:15, at Cafe Luna."
Cancel Flight to Melbourne on 2026-09-25,CANCEL,Flight to Melbourne,Flight to Melbourne session,2026-09-25,2026-09-25T19:00:00Z,2026-09-25T20:30:00Z,Library Room 2,0,'Flight to Melbourne'has been cancelled.
Reschedule Code Review to 11 March 2026 at 08:45,UPDATE,Code Review,Code Review session,2026-03-11,2026-03-11T08:45:00Z,2026-03-11T09:15:00Z,Melbourne Airport,0,has been updated'Code Review'到新时间 08:45-09:15.
Add ParentTeacher Meeting on 11 January 2026 at 09:00 in Client Office,ADD,Parent‑Teacher Meeting,Parent‑Teacher Meeting session,2026-01-11,2026-01-11T09:00:00Z,2026-01-11T10:30:00Z,Client Office,0,"Sure!has been scheduled'Parent‑Teacher Meeting', time 09:00-10:30, at Client Office."
Schedule Birthday Dinner on 17 September 2026 at 16:15 in Community Hall,ADD,Birthday Dinner,Birthday Dinner session,2026-09-17,2026-09-17T16:15:00Z,2026-09-17T17:45:00Z,Community Hall,0,"Sure!has been scheduled'Birthday Dinner', time 16:15-17:45, at Community Hall."
Cancel Yoga Class on 2026-03-19,CANCEL,Yoga Class,Yoga Class session,2026-03-19,2026-03-19T17:15:00Z,2026-03-19T17:45:00Z,Client Office,0,'Yoga Class'has been cancelled.
Book Brainstorm Workshop on 05 November 2025 at 08:15 in Client Office,ADD,Brainstorm Workshop,Brainstorm Workshop session,2025-11-05,2025-11-05T08:15:00Z,2025-11-05T09:45:00Z,Client Office,0,"Sure!has been scheduled'Brainstorm Workshop', time 08:15-09:45, at Client Office."
Schedule Gym Session on 06 January 2025 at 17:00 in Conference Room A,ADD,Gym Session,Gym Session session,2025-01-06,2025-01-06T17:00:00Z,2025-01-06T18:30:00Z,Conference Room A,0,"Sure!has been scheduled'Gym Session', time 17:00-18:30, at Conference Room A."
Add Product Demo on 31 December 2025 at 14:00 in Sydney Clinic,ADD,Product Demo,Product Demo session,2025-12-31,2025-12-31T14:00:00Z,2025-12-31T15:30:00Z,Sydney Clinic,0,"Sure!has been scheduled'Product Demo', time 14:00-15:30, at Sydney Clinic."
Schedule Birthday Dinner on 27 January 2025 at 19:30 in Google Meet,ADD,Birthday Dinner,Birthday Dinner session,2025-01-27,2025-01-27T19:30:00Z,2025-01-27T20:30:00Z,Google Meet,0,"Sure!has been scheduled'Birthday Dinner', time 19:30-20:30, at Google Meet."
Cancel Doctor Checkup on 2025-06-03,CANCEL,Doctor Checkup,Doctor Checkup session,2025-06-03,2025-06-03T11:00:00Z,2025-06-03T12:00:00Z,Gym Downtown,0,'Doctor Checkup'has been cancelled.
